id,Focus Area,Target Crash,Area Type,CountermeasureID,Countermeasure,Proven Countermeasure,CMF,Crash Severity,Road Type,Star Quality,Min AADT,Max AADT,Min Num Lanes,Max Num Lane,Cost,Service Life,Implementation Time,ContributingFactors,SSA ,AASHTO
28,Older Drivers,Rear-end collision,Urban,treat009,Road diet (Convert 4-lane undivided road to 2-lanes plus turning lane),,0.71,All,Minor Arterial,5,,,4,4,TBD,TBD,TBD,"Stop-and-go traffic, slower reaction time, inadequate road marking",Safer People,Safer Drivers and Passengers
28,Young driver,Rear-end collision,Urban,treat009,Road diet (Convert 4-lane undivided road to 2-lanes plus turning lane),,0.71,All,Minor Arterial,5,,,4,4,TBD,TBD,TBD,"Signalized intersection, Urban, high traffic volume, wet surface",Safer People,Safer Drivers and Passengers
32,Distracted Driving,Angular,Urban,treat032,Conversion of signalized intersection into single- or multi-lane roundabout,Yes,0.65,All,Not specified,4,,,NA,NA,TBD,TBD,TBD,"Intersection-related, failing to signal, limited visibility, crossing from right",Safer People,Safer Drivers and Passengers
32,Distracted Driving,Pedestrian-related,Urban,treat032,Conversion of signalized intersection into single- or multi-lane roundabout,Yes,0.65,All,Not specified,4,,,NA,NA,TBD,TBD,TBD,"Urban, daytime/nighttime, texting",Safer People,Safer Drivers and Passengers
32,Pedestrians and Bicyclists,Intersection-related,Urban,treat032,Conversion of signalized intersection into single- or multi-lane roundabout,Yes,0.65,All,Not specified,4,,,NA,NA,TBD,TBD,TBD,"Urban, foggy weather, speeding",Safer People,Safer Vulnerable Users
35,Distracted Driving,Angular,Urban,treat032,Conversion of signalized intersection into single- or multi-lane roundabout,Yes,0.26,"A (serious injury),B (minor injury),C (possible injury)",Not specified,4,,,NA,NA,TBD,TBD,TBD,"Intersection-related, failing to signal, limited visibility, crossing from right",Safer People,Safer Drivers and Passengers
35,Distracted Driving,Pedestrian-related,Urban,treat032,Conversion of signalized intersection into single- or multi-lane roundabout,Yes,0.26,"A (serious injury),B (minor injury),C (possible injury)",Not specified,4,,,NA,NA,TBD,TBD,TBD,"Urban, daytime/nighttime, texting",Safer People,Safer Drivers and Passengers
35,Pedestrians and Bicyclists,Intersection-related,Urban,treat032,Conversion of signalized intersection into single- or multi-lane roundabout,Yes,0.26,"A (serious injury),B (minor injury),C (possible injury)",Not specified,4,,,NA,NA,TBD,TBD,TBD,"Urban, foggy weather, speeding",Safer People,Safer Vulnerable Users
58,Speeding/Aggressive Driving,Right turn,All,treat017,Provide a right-turn lane on one major-road approach,,0.86,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,Failing to yield,Safer People,Safer Drivers and Passengers
59,Speeding/Aggressive Driving,Right turn,All,treat017,Provide a right-turn lane on one major-road approach,,0.96,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,Failing to yield,Safer People,Safer Drivers and Passengers
60,Speeding/Aggressive Driving,Right turn,All,treat017,Provide a right-turn lane on one major-road approach,,0.77,"K (fatal),A (serious injury),B (minor injury),C (possible injury)",Not Specified,4,,,NA,NA,TBD,TBD,TBD,Failing to yield,Safer People,Safer Drivers and Passengers
61,Speeding/Aggressive Driving,Right turn,All,treat017,Provide a right-turn lane on one major-road approach,,0.91,"K (fatal),A (serious injury),B (minor injury),C (possible injury)",Not Specified,4,,,NA,NA,TBD,TBD,TBD,Failing to yield,Safer People,Safer Drivers and Passengers
62,Speeding/Aggressive Driving,Right turn,All,treat018,Provide a right-turn lane on both major-road approaches,,0.74,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,Failing to yield,Safer People,Safer Drivers and Passengers
62,Impaired Driving,Rear-end collision,All,treat018,Provide a right-turn lane on both major-road approaches,,0.74,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,"Failing to yield, inadequate signage, DUI, nighttime",Safer People,Safer Drivers and Passengers
63,Speeding/Aggressive Driving,Right turn,All,treat018,Provide a right-turn lane on both major-road approaches,,0.92,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,Failing to yield,Safer People,Safer Drivers and Passengers
63,Impaired Driving,Rear-end collision,All,treat018,Provide a right-turn lane on both major-road approaches,,0.92,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,"Failing to yield, inadequate signage, DUI, nighttime",Safer People,Safer Drivers and Passengers
64,Impaired Driving,Head-on collision,Urban and Suburban,treat047,Increase intersection median width by 3 ft increments,,1.06,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,"Two way undivided road, poor visibility, driver's age",Safer People,Safer Drivers and Passengers
65,Impaired Driving,Head-on collision,Urban and Suburban,treat047,Increase intersection median width by 3 ft increments,,1.03,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,"Two way undivided road, poor visibility, driver's age",Safer People,Safer Drivers and Passengers
66,Impaired Driving,Head-on collision,Urban and Suburban,treat047,Increase intersection median width by 3 ft increments,,1.03,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,"Two way undivided road, poor visibility, driver's age",Safer People,Safer Drivers and Passengers
67,Impaired Driving,Head-on collision,Urban and Suburban,treat047,Increase intersection median width by 3 ft increments,,1.03,"K (fatal),A (serious injury),B (minor injury),C (possible injury)",Not Specified,4,,,NA,NA,TBD,TBD,TBD,"Two way undivided road, poor visibility, driver's age",Safer People,Safer Drivers and Passengers
71,Intersection,"Angle, Rear-end, Turning",Urban,treat050,Install a traffic signal,,0.86,"K (fatal),A (serious injury),B (minor injury),C (possible injury)",Not specified,4,,,NA,NA,TBD,TBD,TBD,"Failing to yield, inadequate signage, DUI, nighttime",Safer People,Safer Drivers and Passengers
72,Intersection,"Angle, Rear-end, Turning",Urban,treat050,Install a traffic signal,,0.77,"K (fatal),A (serious injury),B (minor injury),C (possible injury)",Not specified,4,,,NA,NA,TBD,TBD,TBD,"Failing to yield, inadequate signage, DUI, nighttime",Safer People,Safer Drivers and Passengers
73,Intersection,"Angle, Rear-end, Turning",Urban,treat050,Install a traffic signal,,0.33,"K (fatal),A (serious injury),B (minor injury),C (possible injury)",Not specified,5,,,NA,NA,TBD,TBD,TBD,"Failing to yield, inadequate signage, DUI, nighttime",Safer People,Safer Drivers and Passengers
74,Intersection,"Angle, Rear-end, Turning",Urban,treat050,Install a traffic signal,,1.38,"K (fatal),A (serious injury),B (minor injury),C (possible injury)",Not specified,4,,,NA,NA,TBD,TBD,TBD,"Failing to yield, inadequate signage, DUI, nighttime",Safer People,Safer Drivers and Passengers
75,Speeding/Aggressive Driving,Overtaking,Urban,treat010,Install a traffic signal (major road speed limit at least 40 mph),,0.33,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,Speed of the impeding vehicle ,Safer People,Safer Drivers and Passengers
75,Impaired Driving,Rear-end collision,Urban,treat010,Install a traffic signal (major road speed limit at least 40 mph),,0.33,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,"Failing to yield, inadequate signage, DUI, nighttime",Safer People,Safer Drivers and Passengers
75,Seatbelt Usages (Occupant Protection),Rear-end collision,Urban,treat010,Install a traffic signal (major road speed limit at least 40 mph),,0.33,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,"Urban, daytime/nighttime, dry surface",Safer People,Safer Drivers and Passengers
75,Older Drivers,Overturn,Urban,treat010,Install a traffic signal (major road speed limit at least 40 mph),,0.33,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,"high speed, wet surface, high-speed turns",Safer People,Safer Drivers and Passengers
76,Speeding/Aggressive Driving,Overtaking,Urban,treat010,Install a traffic signal (major road speed limit at least 40 mph),,2.43,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,Speed of the impeding vehicle ,Safer People,Safer Drivers and Passengers
76,Impaired Driving,Rear-end collision,Urban,treat010,Install a traffic signal (major road speed limit at least 40 mph),,2.43,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,"Failing to yield, inadequate signage, DUI, nighttime",Safer People,Safer Drivers and Passengers
76,Seatbelt Usages (Occupant Protection),Rear-end collision,Urban,treat010,Install a traffic signal (major road speed limit at least 40 mph),,2.43,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,"Urban, daytime/nighttime, dry surface",Safer People,Safer Drivers and Passengers
76,Older Drivers,Overturn,Urban,treat010,Install a traffic signal (major road speed limit at least 40 mph),,2.43,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,"high speed, wet surface, high-speed turns",Safer People,Safer Drivers and Passengers
77,Intersection,"Angle, Rear-end, Turning",Rural,treat050,Install a traffic signal,,0.56,All,Not specified,5,,,NA,NA,TBD,TBD,TBD,"Failing to yield, inadequate signage, DUI, nighttime",Safer People,Safer Drivers and Passengers
78,Intersection,"Angle, Rear-end, Turning",Rural,treat050,Install a traffic signal,,0.23,All,Not Specified,5,,,NA,NA,TBD,TBD,TBD,"Failing to yield, inadequate signage, DUI, nighttime",Safer People,Safer Drivers and Passengers
79,Intersection,"Angle, Rear-end, Turning",Rural,treat050,Install a traffic signal,,0.4,All,Not Specified,5,,,NA,NA,TBD,TBD,TBD,"Failing to yield, inadequate signage, DUI, nighttime",Safer People,Safer Drivers and Passengers
80,Intersection,"Angle, Rear-end, Turning",Rural,treat050,Install a traffic signal,,1.58,All,Not specified,5,,,NA,NA,TBD,TBD,TBD,"Failing to yield, inadequate signage, DUI, nighttime",Safer People,Safer Drivers and Passengers
86,Impaired Driving,Rear-end collision,Urban,treat051,Replace Night-Time Flash with Steady Operation,,0.66,All,Not specified,4,,,NA,NA,TBD,TBD,TBD,"Failing to yield, inadequate signage, DUI, nighttime",Safer People,Safer Drivers and Passengers
87,Impaired Driving,Rear-end collision,Urban,treat051,Replace Night-Time Flash with Steady Operation,,0.65,All,Not specified,4,,,NA,NA,TBD,TBD,TBD,"Failing to yield, inadequate signage, DUI, nighttime",Safer People,Safer Drivers and Passengers
88,Seatbelt Usages (Occupant Protection),Rear-end collision,Rural,treat082,"Provide ""Stop Ahead"" pavement markings",,0.78,"A (serious injury),B (minor injury),C (possible injury)",Not Specified,4,,,NA,NA,TBD,TBD,TBD,"Urban, daytime/nighttime, dry surface",Safer People,Safer Drivers and Passengers
89,Seatbelt Usages (Occupant Protection),Rear-end collision,Rural,treat082,"Provide ""Stop Ahead"" pavement markings",,0.69,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,"Urban, daytime/nighttime, dry surface",Safer People,Safer Drivers and Passengers
90,Seatbelt Usages (Occupant Protection),Rear-end collision,Rural,treat082,"Provide ""Stop Ahead"" pavement markings",,0.45,"A (serious injury),B (minor injury),C (possible injury)",Not Specified,4,,,NA,NA,TBD,TBD,TBD,"Urban, daytime/nighttime, dry surface",Safer People,Safer Drivers and Passengers
91,Seatbelt Usages (Occupant Protection),Rear-end collision,Rural,treat082,"Provide ""Stop Ahead"" pavement markings",,0.58,"A (serious injury),B (minor injury),C (possible injury)",Not Specified,4,,,NA,NA,TBD,TBD,TBD,"Urban, daytime/nighttime, dry surface",Safer People,Safer Drivers and Passengers
92,Seatbelt Usages (Occupant Protection),Rear-end collision,Rural,treat082,"Provide ""Stop Ahead"" pavement markings",,0.4,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,"Urban, daytime/nighttime, dry surface",Safer People,Safer Drivers and Passengers
93,Seatbelt Usages (Occupant Protection),Rear-end collision,Rural,treat082,"Provide ""Stop Ahead"" pavement markings",,0.77,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,"Urban, daytime/nighttime, dry surface",Safer People,Safer Drivers and Passengers
94,Seatbelt Usages (Occupant Protection),Rear-end collision,Rural,treat082,"Provide ""Stop Ahead"" pavement markings",,0.44,All,Not Specified,4,,,NA,NA,TBD,TBD,TBD,"Urban, daytime/nighttime, dry surface",Safer People,Safer Drivers and Passengers
95,Distracted Driving,Angular,Urban,treat033,Install red-light cameras,Yes,0.75,All,Not specified,5,,,NA,NA,TBD,TBD,TBD,"Intersection-related, failing to signal, limited visibility, crossing from right",Safer People,Safer Drivers and Passengers
95,Distracted Driving,Hit-and-run,Urban,treat033,Install red-light cameras,Yes,0.75,All,Not specified,5,,,NA,NA,TBD,TBD,TBD,"Inattention, failure to yield, reaction time, poor visibility",Safer People,Safer Drivers and Passengers
96,Distracted Driving,Angular,Urban,treat033,Install red-light cameras,Yes,0.84,"A (serious injury),B (minor injury),C (possible injury)",Not Specified,5,,,NA,NA,TBD,TBD,TBD,"Intersection-related, failing to signal, limited visibility, crossing from right",Safer People,Safer Drivers and Passengers
96,Distracted Driving,Hit-and-run,Urban,treat033,Install red-light cameras,Yes,0.84,"A (serious injury),B (minor injury),C (possible injury)",Not Specified,5,,,NA,NA,TBD,TBD,TBD,"Inattention, failure to yield, reaction time, poor visibility",Safer People,Safer Drivers and Passengers
97,Distracted Driving,Angular,Urban,treat033,Install red-light cameras,Yes,1.15,All,Not specified,5,,,NA,NA,TBD,TBD,TBD,"Intersection-related, failing to signal, limited visibility, crossing from right",Safer People,Safer Drivers and Passengers
97,Distracted Driving,Hit-and-run,Urban,treat033,Install red-light cameras,Yes,1.15,All,Not specified,5,,,NA,NA,TBD,TBD,TBD,"Inattention, failure to yield, reaction time, poor visibility",Safer People,Safer Drivers and Passengers
98,Distracted Driving,Angular,Urban,treat033,Install red-light cameras,Yes,1.24,"A (serious injury),B (minor injury),C (possible injury)",Not Specified,5,,,NA,NA,TBD,TBD,TBD,"Intersection-related, failing to signal, limited visibility, crossing from right",Safer People,Safer Drivers and Passengers
98,Distracted Driving,Hit-and-run,Urban,treat033,Install red-light cameras,Yes,1.24,"A (serious injury),B (minor injury),C (possible injury)",Not Specified,5,,,NA,NA,TBD,TBD,TBD,"Inattention, failure to yield, reaction time, poor visibility",Safer People,Safer Drivers and Passengers
99,Distracted Driving,Angular,All,treat034,Provide flashing beacons at stop controlled intersections,,0.95,All,Not Specified,4,,,2,2,TBD,TBD,TBD,"Intersection-related, failing to signal, limited visibility, crossing from right",Safer People,Safer Drivers and Passengers
99,Distracted Driving,Head-on collision,All,treat034,Provide flashing beacons at stop controlled intersections,,0.95,All,Not Specified,4,,,2,2,TBD,TBD,TBD,"Two lane rural road, texting, inattention, poor visibility, reaction time ",Safer People,Safer Drivers and Passengers
99,Impaired Driving,Head-on collision,All,treat034,Provide flashing beacons at stop controlled intersections,,0.95,All,Not Specified,4,,,2,2,TBD,TBD,TBD,"Two way undivided road, poor visibility, driver's age",Safer People,Safer Drivers and Passengers
100,Distracted Driving,Angular,All,treat034,Provide flashing beacons at stop controlled intersections,,0.9,"A (serious injury),B (minor injury),C (possible injury)",Not Specified,4,,,2,2,TBD,TBD,TBD,"Intersection-related, failing to signal, limited visibility, crossing from right",Safer People,Safer Drivers and Passengers
100,Distracted Driving,Head-on collision,All,treat034,Provide flashing beacons at stop controlled intersections,,0.9,"A (serious injury),B (minor injury),C (possible injury)",Not Specified,4,,,2,2,TBD,TBD,TBD,"Two lane rural road, texting, inattention, poor visibility, reaction time ",Safer People,Safer Drivers and Passengers
100,Impaired Driving,Head-on collision,All,treat034,Provide flashing beacons at stop controlled intersections,,0.9,"A (serious injury),B (minor injury),C (possible injury)",Not Specified,4,,,2,2,TBD,TBD,TBD,"Two way undivided road, poor visibility, driver's age",Safer People,Safer Drivers and Passengers
101,Distracted Driving,Angular,All,treat034,Provide flashing beacons at stop controlled intersections,,0.92,All,Not Specified,4,,,2,2,TBD,TBD,TBD,"Intersection-related, failing to signal, limited visibility, crossing from right",Safer People,Safer Drivers and Passengers
101,Distracted Driving,Head-on collision,All,treat034,Provide flashing beacons at stop controlled intersections,,0.92,All,Not Specified,4,,,2,2,TBD,TBD,TBD,"Two lane rural road, texting, inattention, poor visibility, reaction time ",Safer People,Safer Drivers and Passengers
101,Impaired Driving,Head-on collision,All,treat034,Provide flashing beacons at stop controlled intersections,,0.92,All,Not Specified,4,,,2,2,TBD,TBD,TBD,"Two way undivided road, poor visibility, driver's age",Safer People,Safer Drivers and Passengers
